Chemical,Type of Toxicity,CAS No.
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",cancer,26148-68-5
Abiraterone acetate,"developmental, female, male ",154229-18-2
Acetaldehyde,cancer,75-07-0
Acetamide,cancer ,60-35-5
Acetazolamide   ,developmental  ,59-66-5
Acetochlor,cancer,34256-82-1
Acetohydroxamic acid,developmental,546-88-3
2-Acetylaminofluorene,cancer,53-96-3
Acifluorfen sodium,cancer,62476-59-9
Acrylamide,cancer,6/1/79
Acrylamide,"developmental, male ",6/1/79
Acrylonitrile,cancer,107-13-1
"Actinomycin D [Basis for listing changed effective February 22, 2013]",cancer,50-76-0
Actinomycin D,developmental,50-76-0
AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)]acrylamide,cancer,3688-53-7
Aflatoxins,cancer,---
Alachlor,cancer,15972-60-8
Alcoholic beverages,cancer,---
"Alcoholic beverages, when associated with alcohol abuse",cancer,---
Aldrin,cancer,309-00-2
All-trans retinoic acid,developmental ,302-79-4
"Allyl chloride  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,107-05-1
"Aloe vera, non-decolorized whole leaf extract",cancer,---
Alprazolam,developmental ,28981-97-7
Altretamine,"developmental, male ",645-05-6
Amantadine hydrochloride,developmental ,665-66-7
Amikacin sulfate,developmental,39831-55-5
2-Aminoanthraquinone,cancer,117-79-3
p-Aminoazobenzene,cancer,9/3/60
o-Aminoazotoluene,cancer,97-56-3
4-Aminobiphenyl (4-aminodiphenyl),cancer,92-67-1
2-Amino-4-chlorophenol,cancer,95-85-2
"1-Amino-2,4-dibromoanthraquinone",cancer ,81-49-2
3-Amino-9-ethylcarbazole hydrochloride,cancer,6109-97-3
2-Aminofluorene,cancer ,153-78-6
Aminoglutethimide,developmental,125-84-8
Aminoglycosides,developmental ,---
1-Amino-2-methylanthraquinone,cancer,82-28-0
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",cancer,712-68-5
4-Amino-2-nitrophenol,cancer ,119-34-6
Aminopterin,"developmental, female",54-62-6
Amiodarone hydrochloride,"developmental, female, male ",19774-82-4
Amitraz,developmental ,33089-61-1
Amitrole,cancer,61-82-5
Amoxapine,developmental ,14028-44-5
Amsacrine,cancer ,51264-14-3
"tert-Amyl methyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,994-05-8
Anabolic steroids,"female, male",---
Analgesic mixtures containing Phenacetin,cancer,---
Androstenedione,cancer,5/8/63
Angiotensin converting enzyme  (ACE) inhibitors,developmental,---
Aniline,cancer,62-53-3
Aniline hydrochloride,cancer ,142-04-1
o-Anisidine,cancer,90-04-0
o-Anisidine hydrochloride,cancer,134-29-2
Anisindione,developmental,117-37-3
Anthraquinone,cancer ,84-65-1
Antimony oxide (Antimony trioxide),cancer,1309-64-4
Aramite,cancer,140-57-8
Areca nut,cancer ,  ---
Aristolochic acids,cancer ,  ---
Arsenic (inorganic arsenic compounds),cancer,--
Arsenic (inorganic oxides),developmental,---
Asbestos,cancer,1332-21-4
"Aspirin (NOTE:  It is especially  important not to use aspirin during the last three months of pregnancy,  unless specifically directed to do so by a physician because it may cause  problems in the unborn child or  complications during delivery.)","developmental, female",50-78-2
Atenolol,developmental ,29122-68-7
Atrazine,"developmental, female",1912-24-9
Auramine,cancer,492-80-8
Auranofin,developmental ,34031-32-8
Avermectin B1 (Abamectin),developmental,71751-41-2
Azacitidine,cancer,320-67-2
Azaserine,cancer,115-02-6
Azathioprine,cancer,446-86-6
Azathioprine,developmental,446-86-6
Azobenzene,cancer,103-33-3
Barbiturates,developmental,---
Beclomethasone dipropionate,developmental ,9/8/34
Benomyl,"developmental, male",17804-35-2
Benthiavalicarb-isopropyl,cancer ,177406-68-7
Benz[a]anthracene,cancer,56-55-3
Benzene,cancer,71-43-2
Benzene,"developmental, male ",71-43-2
Benzidine [and its salts],cancer,92-87-5
Benzidine-based dyes,cancer,---
Benzodiazepines,developmental,---
Benzo[b]fluoranthene,cancer,205-99-2
Benzo[j]fluoranthene,cancer,205-82-3
Benzo[k]fluoranthene,cancer,207-08-9
Benzofuran,cancer,271-89-6
Benzophenone,cancer,119-61-9
Benzo[a]pyrene,cancer,50-32-8
Benzotrichloride,cancer,7/7/98
Benzphetamine hydrochloride,developmental,5411-22-3
Benzyl chloride,cancer,100-44-7
Benzyl violet 4B,cancer,1694-09-3
Beryllium and beryllium compounds,cancer,---
   Beryllium ,,
   Beryllium oxide,,
   Beryllium sulfate,,
Betel quid with tobacco,cancer,---
Betel quid without tobacco,cancer ,  ---
Bevacizumab,"developmental, female",216974-75-3
"2,2-Bis(bromomethyl)-1,3-propanediol",cancer,3296-90-0
Bis(2-chloroethyl)ether,cancer,111-44-4
"N,N-Bis(2-chloroethyl)-2-naphthylamine  (Chlornapazine)",cancer,494-03-1
Bischloroethyl nitrosourea (BCNU) (Carmustine),cancer,154-93-8
Bischloroethyl nitrosourea (BCNU) (Carmustine),developmental,154-93-8
Bis(chloromethyl)ether,cancer,542-88-1
"Bis(2-chloro-1-methylethyl)ether,  technical grade",cancer ,---
Bisphenol A (BPA),female,5/7/80
Bisphenol A (BPA) ,developmental,5/7/80
"Bitumens, extracts of steam-refined and air refined",cancer,---
Bracken fern,cancer,---
Bromacil lithium salt,developmental ,53404-19-6
Bromacil lithium salt,male ,53404-19-6
Bromate,cancer ,15541-45-4
Bromochloroacetic acid,cancer ,5589-96-8
1-Bromo-3-chloropropane ,cancer,109-70-6
Bromodichloroacetic acid,cancer,71133-14-7
Bromodichloromethane,cancer,75-27-4
Bromoethane,cancer,74-96-4
Bromoform,cancer,75-25-2
1-Bromopropane (1-BP),cancer,106-94-5
1-Bromopropane (1-BP),"developmental, female, male ",106-94-5
2-Bromopropane (2-BP),"female, male ",75-26-3
Bromoxynil,developmental,1689-84-5
Bromoxynil octanoate,developmental ,1689-99-2
Butabarbital sodium,developmental,143-81-7
"1,3-Butadiene",cancer,106-99-0
"1,3-Butadiene","developmental, female, male ",106-99-0
"1,4-Butanediol dimethanesulfonate (Busulfan)",cancer,55-98-1
"1,4-Butanediol dimethanesulfonate (Busulfan)",developmental,55-98-1
Butylated hydroxyanisole,cancer,25013-16-5
Butyl benzyl phthalate (BBP)d,developmental ,85-68-7
1-Butyl glycidyl ether ,cancer,8/6/26
"n-Butyl glycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",male ,8/6/26
beta-Butyrolactone,cancer,3068-88-0
Cacodylic acid,cancer,75-60-5
Cadmium,"developmental, male ",---
Cadmium and cadmium compounds,cancer,---
Cadmium,,
Cannabis (marijuana) smoke,developmental,---
Caffeic acid,cancer,331-39-5
Captafol,cancer,6/1/25
Captan,cancer,133-06-2
Carbamazepine,developmental ,298-46-4
Carbaryl,cancer ,63-25-2
"Carbaryl [Basis for listing changed effective December 27, 2013]","developmental, female, male",63-25-2
Carbazole,cancer,86-74-8
"Carbon black (airborne, unbound particles of respirable size)",cancer ,1333-86-4
Carbon-black extracts,cancer,---
Carbon disulfide,"developmental, female, male",75-15-0
Carbon monoxide,developmental,630-08-0
Carbon tetrachloride,cancer,56-23-5
Carboplatin,developmental,41575-94-4
N-Carboxymethyl-N-nitrosourea,cancer,60391-92-6
Catechol,cancer ,120-80-9
Ceramic fibers (airborne particles of respirable size),cancer,---
Certain combined chemotherapy for lymphomas,cancer,---
Chenodiol,developmental,474-25-9
Chloral,cancer,75-87-6
Chloral hydrate,cancer,302-17-0
Chlorambucil,cancer,305-03-3
Chlorambucil,developmental,305-03-3
"Chloramphenicol Delisted January 4, 2013 [Click here for the basis for delisting]",cancer,56-75-7
Chloramphenicol sodium succinate,cancer,982-57-0
Chlorcyclizine hydrochloride,developmental,1620-21-9
Chlordane,cancer,57-74-9
Chlordecone (Kepone),cancer,143-50-0
Chlordecone (Kepone),developmental,143-50-0
Chlordiazepoxide,developmental,58-25-3
Chlordiazepoxide hydrochloride,developmental,438-41-5
Chlordimeform,cancer,6164-98-3
Chlorendic acid,cancer,115-28-6
"Chlorinated paraffins (Average chain length, C12;approximately 60 percent chlorine by weight)",cancer,108171-26-2
p-Chloroaniline,cancer,106-47-8
p-Chloroaniline hydrochloride,cancer ,20265-96-7
"Chlorodibromomethane  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,124-48-1
Chloroethane (Ethyl chloride),cancer,75-00-3
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),cancer,13010-47-4
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),developmental,13010-47-4
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU),cancer,13909-09-6
Chloroform,cancer,67-66-3
"Chloroform [Basis for listing changed effective December 23, 2016]",developmental ,67-66-3
Chloromethyl methyl ether (technical grade),cancer,107-30-2
3-Chloro-2-methylpropene,cancer,563-47-3
1-Chloro-4-nitrobenzene,cancer,100-00-5
2-Chloronitrobenzene,cancer,88-73-3
4-Chloro-o-phenylenediamine,cancer,95-83-0
Chloroprene,cancer ,126-99-8
"2-Chloropropionic acid [Basis for listing changed effective December 20, 2013]",male ,598-78-7
Chlorothalonil,cancer,1897-45-6
p-Chloro-o-toluidine,cancer,95-69-2
"p-Chloro-o-toluidine, strong acid salts of",cancer ,---
"   p-Chloro-o-toluidine, hydrochloride",,
5-Chloro-o-toluidine and its strong acid salts,cancer ,---
Chlorotrianisene,cancer,569-57-3
"p-chloro-?,?,?-trifluorotoluene (para-Chlorobenzotrifluoride, PCBTF)",cancer,98-56-6
Chlorozotocin,cancer,54749-90-5
Chlorpyrifos,developmental,2921-88-2
"Chlorsulfuron Delisted June 6, 2014 [Click here for the basis for delisting] ","developmental, female, male ",64902-72-3
Chromium (hexavalent compounds),cancer,---
Chromium (hexavalent compounds),"developmental, female, male ", ---
Chrysene,cancer,218-01-9
C.I. Acid Red 114,cancer,6459-94-5
C.I. Basic Red 9 monohydrochloride,cancer,569-61-9
C.I. Direct Blue 15,cancer ,2429-74-5
C.I. Direct Blue 218,cancer ,28407-37-6
C.I. Disperse Yellow 3,cancer,2832-40-8
C.I. Solvent Yellow 14,cancer ,842-07-9
Ciclosporin (Cyclosporin A; Cyclosporine),cancer,59865-13-3; 79217-60-0
Cidofovir,"cancer, developmental, female, male",113852-37-2
Cinnamyl anthranilate,cancer,87-29-6
Cisplatin,cancer,15663-27-1
Citrus Red No. 2,cancer,6358-53-8
Cladribine,developmental,4291-63-8
Clarithromycin,developmental ,81103-11-9
Clobetasol propionate,"developmental, female ",25122-46-7
Clofibrate,cancer,637-07-0
Clomiphene citrate,cancer,50-41-9
Clomiphene citrate,developmental,50-41-9
Clorazepate dipotassium,developmental,57109-90-7
CMNP (pyrazachlor),cancer,6814-58-0
Cobalt metal powder,cancer,7440-48-4
Cobalt [II] oxide,cancer,1307-96-6
Cobalt sulfate,cancer ,10124-43-3
Cobalt sulfate heptahydrate,cancer ,10026-24-1
Cocaine,"developmental, female",50-36-2
Coconut oil diethanolamine condensate (cocamide diethanolamine),cancer,---
Codeine phosphate,developmental ,52-28-8
Coke oven emissions,cancer,---
Colchicine,"developmental, male",64-86-8
Conjugated estrogens,cancer,---
Conjugated estrogens,developmental,---
Creosotes,cancer,---
p-Cresidine,cancer,120-71-8
Cumene,cancer ,98-82-8
Cupferron,cancer,135-20-6
Cyanazine,developmental,21725-46-2
Cycasin,cancer,14901-08-7
Cycloate,developmental ,1134-23-2
"Cyclohexanol  Delisted January 25, 2002 [Click here for the basis for delisting]",male ,108-93-0
Cycloheximide,developmental,66-81-9
Cyclopenta[cd]pyrene,cancer,27208-37-3
Cyclophosphamide (anhydrous),cancer,50-18-0
Cyclophosphamide (anhydrous),"developmental, female, male",50-18-0
Cyclophosphamide (hydrated),cancer,6055-19-2
Cyclophosphamide (hydrated),"developmental, female, male",6055-19-2
Cyhexatin,developmental,13121-70-5
Cytarabine,developmental,147-94-4
Cytembena,cancer ,21739-91-3
D&C Orange No. 17,cancer,3468-63-1
D&C Red No. 8,cancer,2092-56-0
D&C Red No. 9,cancer,2/1/60
D&C Red No. 19,cancer,81-88-9
Dacarbazine,cancer,3/4/42
Dacarbazine,developmental ,3/4/42
Daminozide,cancer,1596-84-5
Danazol,developmental,17230-88-5
"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",cancer,117-10-2
Daunomycin,cancer,20830-81-3
Daunorubicin hydrochloride ,developmental,23541-50-6
"2,4-D butyric acid [Click here for the basis for the removal of developmental endpoint, effective June 22, 2001]","developmental,   male   ",94-82-6
DDD (Dichlorodiphenyl-dichloroethane),cancer,72-54-8
DDE (Dichlorodiphenyl-dichloroethylene),cancer,72-55-9
DDT (Dichlorodiphenyl-trichloroethane),cancer,50-29-3
"o,p'-DDT","developmental, female, male ",789-02-6
"p,p'-DDT","developmental, female, male ",50-29-3
DDVP (Dichlorvos),cancer,62-73-7
Demeclocycline hydrochloride (internal use),developmental,64-73-3
Des-ethyl atrazine (DEA),"developmental, female",6190-65-4
Des-isopropyl atrazine (DIA),"developmental, female",1007-28-9
"N,N'-Diacetylbenzidine",cancer,613-35-4
"2,4-Diaminoanisole",cancer,615-05-4
"2,4-Diaminoanisole sulfate",cancer,39156-41-7
"2,4-Diamino-6-chloro-s-triazine (DACT)","developmental, female",3397-62-4
"4,4'-Diaminodiphenyl ether (4,4'-Oxydianiline)",cancer,101-80-4
"2,4-Diaminotoluene",cancer,95-80-7
"Diaminotoluene (mixed) Delisted November, 20 2015 [Click here for the basis for delisting]",cancer, ---
Diazepam,developmental,439-14-5
Diazoaminobenzene,cancer ,136-35-6
Diazoxide,developmental ,364-98-7
"Dibenz[a,h]acridine",cancer,226-36-8
"Dibenz[a,j]acridine",cancer,224-42-0
Dibenzanthracenes,cancer, ---
"Dibenz[a,c]anthracene",cancer,215-58-7
"Dibenz[a,h]anthracene",cancer,53-70-3
"Dibenz[a,j]anthracene",cancer,224-41-9
"7H-Dibenzo[c,g]carbazole",cancer,194-59-2
"Dibenzo[a,e]pyrene",cancer,192-65-4
"Dibenzo[a,h]pyrene",cancer,189-64-0
"Dibenzo[a,i]pyrene",cancer,189-55-9
"Dibenzo[a,l]pyrene",cancer,191-30-0
Dibromoacetic acid,cancer,631-64-1
Dibromoacetonitrile,cancer,3252-43-5
"1,2-Dibromo-3-chloropropane  (DBCP)",cancer,12/8/96
"1,2-Dibromo-3-chloropropane  (DBCP) [Basis for listing changed effective November 22, 2013]",male,12/8/96
"2,3-Dibromo-1-propanol",cancer,96-13-9
Dichloroacetic acid,cancer,79-43-6
Dichloroacetic acid,"developmental, male",79-43-6
p-Dichlorobenzene,cancer,106-46-7
"3,3'-Dichlorobenzidine",cancer,91-94-1
"3,3'-Dichlorobenzidine dihydrochloride",cancer ,612-83-9
"1,1-Dichloro-2,2-bis(p-chloropheny)ethylene (DDE)","developmental, male ",72-55-9
"1,4-Dichloro-2-butene",cancer,764-41-0
"3,3'-Dichloro-4,4'-diamino-diphenyl ether",cancer,28434-86-8
"1,1-Dichloroethane",cancer,75-34-3
Dichloromethane (Methylene chloride),cancer,9/2/75
"1,4-Dichloro-2-nitrobenzene",cancer,89-61-2
"2,4-Dichloro-1-nitrobenzene",cancer,611-06-3
Dichlorophene,developmental ,97-23-4
Dichlorphenamide,developmental ,120-97-8
"1,2-Dichloropropane",cancer,78-87-5
"1,3-Dichloro-2-propanol (1,3-DCP)",cancer,96-23-1
"1,3-Dichloropropene",cancer,542-75-6
Diclofop-methyl,cancer ,51338-27-3
Diclofop methyl,developmental ,51338-27-3
Dicumarol,developmental,66-76-2
Dieldrin,cancer,60-57-1
"Dienestrol Delisted January 4, 2013 [Click here for the basis for delisting]",cancer,84-17-3
Diepoxybutane,cancer,1464-53-5
Diesel engine exhaust,cancer,---
Diethanolamine,cancer,111-42-2
Di(2-ethylhexyl)phthalate (DEHP),cancer,117-81-7
Di(2-ethylhexyl)phthalate (DEHP),"developmental, male ",117-81-7
   Adultb,,
"   Infant boys, age 29 days to 24 monthsb",,
"   Neonatal infant boys, age 0 to 28 daysb",,
   Adultb,,
"   Infant boys, age 29 days to 24 monthsb",,
"   Neonatal infant boys, age 0 to 28 daysb",,
"1,2-Diethylhydrazine",cancer,1615-80-1
Diethylstilbestrol (DES) ,cancer,56-53-1
Diethylstilbestrol (DES) ,developmental,56-53-1
Diethyl sulfate,cancer,64-67-5
Diflunisal,"developmental, female ",22494-42-4
"Diglycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",male ,7/5/38
Diglycidyl resorcinol ether (DGRE),cancer,101-90-6
Dihydroergotamine mesylate ,developmental ,6190-39-2
Dihydrosafrole,cancer,94-58-6
Di-isodecyl phthalate (DIDP),developmental ,68515-49-1/      26761-40-0
Diisononyl phthalate (DINP),cancer, ---
Diisopropyl sulfate,cancer,10/6/73
Diltiazem hydrochloride ,developmental ,33286-22-5
"3,3'-Dimethoxybenzidine (o-Dianisidine)",cancer,119-90-4
"3,3'-Dimethoxybenzidine dihydrochloride",cancer,20325-40-0
"3,3'-Dimethoxybenzidine-based dyes metabolized to 3,3'-dimethoxybenzidine",cancer , ---
"N,N-Dimethylacetamide",cancer,127-19-5
"N,N-Dimethylacetamide [Click here for the basis for addition of male reproductive endpoint, effective December 20, 2013]","developmental, male ",127-19-5
4-Dimethylaminoazobenzene,cancer,11/7/60
"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",cancer,55738-54-0
"7,12-Dimethylbenz(a)anthracene",cancer,57-97-6
"3,3'-Dimethylbenzidine (ortho-Tolidine)",cancer,119-93-7
"3,3'-Dimethylbenzidine-based dyes metabolized to 3,3'-dimethylbenzidine",cancer , ---
"3,3'-Dimethylbenzidine dihydrochloride",cancer,612-82-8
Dimethylcarbamoyl chloride,cancer,79-44-7
"N,N-Dimethylformamide",cancer,12/2/68
"1,1-Dimethylhydrazine (UDMH)",cancer,57-14-7
"1,2-Dimethylhydrazine",cancer,540-73-8
"2,6-Dimethyl-N-nitrosomorpholine (DMNM)",cancer,1456-28-6
Dimethyl sulfate,cancer,77-78-1
"N,N-Dimethyl-p-toluidine",cancer,99-97-8
Dimethylvinylchloride,cancer,513-37-1
Di-n-butyl phthalate (DBP),"developmental, female, male ",84-74-2
Di-n-hexyl phthalate (DnHP),"female, male ",84-75-3
m-Dinitrobenzene,male,99-65-0
o-Dinitrobenzene,male,528-29-0
p-Dinitrobenzene,male,100-25-4
"3,7-Dinitrofluoranthene",cancer ,105735-71-5
"3,9-Dinitrofluoranthene",cancer ,22506-53-2
"1,3-Dinitropyrene",cancer,75321-20-9
"1,6-Dinitropyrene",cancer,42397-64-8
"1,8-Dinitropyrene",cancer,42397-65-9
"2,4-Dinitrotoluene",cancer,121-14-2
"2,4-Dinitrotoluene",male ,121-14-2
"2,6-Dinitrotoluene",cancer,606-20-2
"2,6-Dinitrotoluene",male ,606-20-2
Dinitrotoluene (technical grade),"female, male ",---
"Dinitrotoluene mixture, 2,4-/2,6-",cancer,---
Dinocap,developmental,39300-45-3
Dinoseb,"developmental, male",88-85-7
Di-n-propyl isocinchomeronate (MGK Repellent 326),cancer,136-45-8
"1,4-Dioxane",cancer,123-91-1
Diphenylhydantoin (Phenytoin),cancer,57-41-0
Diphenylhydantoin (Phenytoin),developmental,57-41-0
"Diphenylhydantoin (Phenytoin), sodium salt",cancer,630-93-3
Direct Black 38 (technical grade),cancer,1937-37-7
Direct Blue 6 (technical grade),cancer,2602-46-2
Direct Brown 95 (technical grade),cancer,16071-86-6
Disodium cyanodithioimidocarbonate,developmental ,138-93-2
Disperse Blue 1,cancer,2475-45-8
Diuron,cancer,330-54-1
Doxorubicin hydrochloride (Adriamycin),cancer,25316-40-9
Doxorubicin hydrochloride (Adriamycin),"developmental, male ",25316-40-9
Doxycycline (internal use),developmental,564-25-0
Doxycycline calcium (internal use),developmental,94088-85-4
Doxycycline hyclate (internal use),developmental,24390-14-5
Doxycycline monohydrate (internal use),developmental,17086-28-1
"2,4-DP (dichloroprop)  Delisted January 25, 2002 [Click here for the basis for delisting]",developmental ,120-36-5
,,
Emissions from combustion of coal,cancer, ---
Emissions from high-temperature unrefined rapeseed oil,cancer, ---
Endrin ,developmental ,72-20-8
Environmental tobacco smoke (ETS),developmental,  ---
Epichlorohydrin,cancer,106-89-8
Epichlorohydrin,male,106-89-8
Epoxiconazole,cancer,135319-73-2
Ergotamine tartrate ,developmental,379-79-3
Erionite,cancer,12510-42-8; 66733-21-9
Estradiol 17B,cancer,50-28-2
Estragole,cancer,140-67-0
"Estrogens, steroidal",cancer,  ---
Estrogen-progestogen (combined) used as menopausal therapy,cancer, ---
Estrone,cancer,53-16-7
Estropipate ,"cancer, developmental ",7280-37-7
Ethinylestradiol,cancer,57-63-6
Ethionamide ,developmental,536-33-4
Ethoprop,cancer ,13194-48-4
Ethyl acrylate,cancer,140-88-5
Ethyl alcohol in alcoholic beverages,developmental,---
Ethylbenzene,cancer ,100-41-4
"Ethyl-tert-butyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",male ,637-92-3
Ethyl dipropylthiocarbamate ,developmental ,759-94-4
"Ethyl-4,4'-dichlorobenzilate",cancer,510-15-6
Ethylene dibromide ,cancer,106-93-4
Ethylene dibromide ,"developmental, male ",106-93-4
"Ethylene dichloride (1,2-Dichloroethane)",cancer,107-06-2
Ethylene glycol (ingested),developmental,107-21-1
Ethylene glycol monoethyl ether,"developmental, male",110-80-5
Ethylene glycol monoethyl ether acetate,"developmental, male",111-15-9
Ethylene glycol monomethyl ether,"developmental, male",109-86-4
Ethylene glycol monomethyl ether acetate,"developmental, male",110-49-6
Ethyleneimine (Aziridine),cancer,151-56-4
Ethylene oxide,cancer,75-21-8
"Ethylene oxide [Basis for listing changed effective November 22, 2013]",female,75-21-8
"Ethylene oxide [Basis for listing changed effective November 22, 2013]","developmental, male ",75-21-8
Ethylene thiourea,cancer,96-45-7
Ethylene thiourea,developmental,96-45-7
"2-Ethylhexanoic acid  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,149-57-5
2-Ethylhexyl acrylate,cancer,103-11-7
Ethyl methanesulfonate,cancer,62-50-0
Etodolac,"developmental, female  ",41340-25-4
Etoposide,cancer,33419-42-0
Etoposide,developmental,33419-42-0
Etoposide in combination with cisplatin and bleomycin,cancer, ---
Etretinate,developmental,54350-48-0
Fenoxaprop ethyl,developmental ,66441-23-4 
Fenoxycarb,cancer ,72490-01-8
Filgrastim,developmental ,121181-53-1
Fluazifop butyl,developmental ,69806-50-4
Flunisolide,"developmental, female ",3/3/85
Fluorouracil,developmental,51-21-8
Fluoxymesterone,developmental,76-43-7
Flurazepam hydrochloride,developmental,1172-18-5
Flurbiprofen,"developmental, female ",5104-49-4
Flutamide,developmental,13311-84-7
Fluticasone propionate,developmental ,80474-14-2
Fluvalinate,developmental ,69409-94-5
Folpet,cancer,133-07-3
Formaldehyde (gas),cancer,50-00-0
2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,cancer,3570-75-0
Fumonisin B1,cancer,116355-83-0
Furan,cancer,110-00-9
Furazolidone,cancer,67-45-8
Furfuryl alcohol,cancer,98-00-0
Furmecyclox,cancer,60568-05-0
Fusarin C,cancer,79748-81-5
Gallium arsenide,cancer ,1303-00-0
Ganciclovir,"cancer, developmental, male ",82410-32-0
Ganciclovir sodium,"developmental, male ",107910-75-8
Gasoline engine exhaust (condensates/extracts),cancer,---
Gemfibrozil,cancer,25812-30-0
Gemfibrozil,"female, male ",25812-30-0
Gentian violet (Crystal violet),cancer,548-62-9
Glass wool fibers (inhalable and biopersistent),cancer,---
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2- a:3',2'-d]imidazole)",cancer,67730-11-4
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",cancer,67730-10-3
Glycidaldehyde,cancer,765-34-4
Glycidol,cancer,556-52-5
Glycidyl methacrylate ,cancer,106-91-2
Glyphosate,cancer,1071-83-6
Goldenseal root powder,cancer,---
Goserelin acetate,"developmental, female, male ",65807-02-5
Griseofulvin,cancer,126-07-8
Gyromitrin (Acetaldehyde methylformylhydrazone),cancer,16568-02-8
Halazepam,developmental,23092-17-3
Halobetasol propionate,developmental ,66852-54-8
Haloperidol,"developmental, female ",52-86-8
Halothane,developmental,151-67-7
HC Blue 1,cancer,2784-94-3
Heptachlor,cancer,76-44-8
Heptachlor,developmental,76-44-8
Heptachlor epoxide,cancer,1024-57-3
Herbal remedies containing plant species of the genus Aristolochia,cancer ,  ---
Hexachlorobenzene,cancer,118-74-1
Hexachlorobenzene,developmental,118-74-1
